beta1,beta2,shortRho_m[1],shortRho_m[2],shortRho_m[3],shortRho_f[1],shortRho_f[2],shortRho_f[3],muRho,sigmaRho
0.006824279,0.058155469,0.007736452,0.014739799,0.015495857,0.019327292,0.024574806,0.026986712,0.018915742,0.006075167
0.001312692,0.070163769,0.007195092,0.012566917,0.017670965,0.014187842,0.029543365,0.019244726,0.017331401,0.017197451
0.002386144,0.065347224,0.006692509,0.014171503,0.017085328,0.014081312,0.025905207,0.034993524,0.017740691,0.011986439
0.000674682,0.067180629,0.003592029,0.023125263,0.007150003,0.018316906,0.026749803,0.019542362,0.014946606,0.00790316
0.00443252,0.060032228,0.01027834,0.014663211,0.018614669,0.013860531,0.026296867,0.030502251,0.021148961,0.009189436
0.005469429,0.0597281,0.012810132,0.013004527,0.013802114,0.021178859,0.023424116,0.01931681,0.016149272,0.00675036
0.01353266,0.049160234,0.006319214,0.015695458,0.010893109,0.020393906,0.022255477,0.031908364,0.01827774,0.011379483
0.001015801,0.071616687,0.010160364,0.0117893,0.009556554,0.017412634,0.024617422,0.021204991,0.018132938,0.008493026
0.010516908,0.053136648,0.010944869,0.014235425,0.009361504,0.016937198,0.026881603,0.024149808,0.013653934,0.018008805
0.004284096,0.058871544,0.005623408,0.017165537,0.015553366,0.015976766,0.02809849,0.031747011,0.011385461,0.016100564
0.000187703,0.06565923,0.009907714,0.013747014,0.017541245,0.021163699,0.021291271,0.03982954,0.018076272,0.012521983
0.000663553,0.066907389,0.012020424,0.011287148,0.013919477,0.021111357,0.023504341,0.036282449,0.012267078,0.009474406
0.002340814,0.070003394,0.005978437,0.00999009,0.019586901,0.013684955,0.026694664,0.028194128,0.01659622,0.012258086
0.003887024,0.064150424,0.008532397,0.010258374,0.023853717,0.014446208,0.024129725,0.036121223,0.01813609,0.008720853
0.001339456,0.069496148,0.004372858,0.011551102,0.018659233,0.019464769,0.01937027,0.0400379,0.018772456,0.012451573
0.003891072,0.059210979,0.007276195,0.018823112,0.011491117,0.015648784,0.027273411,0.033760056,0.003945141,0.02111943
0.000218091,0.062864201,0.011157216,0.015694126,0.015200765,0.020439488,0.024037217,0.020280257,0.020423039,0.004138951
0.002926968,0.061243838,0.014639772,0.010621331,0.018539695,0.022713537,0.020922159,0.032395974,0.017270832,0.006273875
0.001334809,0.064945536,0.011735016,0.00944385,0.015988038,0.024804221,0.022665826,0.028977748,0.022250205,0.012822902
0.001704751,0.06272887,0.011671762,0.015420326,0.013666981,0.020376148,0.023914291,0.026023084,0.018098147,0.010045936
0.000815716,0.066724318,0.008749607,0.013170646,0.017784159,0.01463182,0.022611033,0.037637854,0.014155337,0.020225337
0.004023079,0.062942533,0.004219607,0.019104901,0.010460392,0.016246738,0.026539297,0.025701985,0.018060685,0.00581247
0.001504187,0.071087266,0.004469488,0.019274336,0.007089006,0.018622265,0.019827132,0.023771693,0.018123038,0.008968455
0.00039176,0.068359007,0.006575883,0.013860365,0.017870968,0.015045277,0.028414532,0.03267624,0.01584447,0.006447221
0.001301836,0.065709588,0.012085032,0.013030113,0.012463564,0.011791878,0.025739468,0.029365678,0.01791743,0.004935515
0.002518468,0.062364752,0.007155134,0.021284021,0.007286148,0.020854827,0.020732417,0.031102015,0.018324045,0.00758432
0.001416911,0.06756362,0.012989495,0.013783619,0.008939666,0.018826174,0.019362578,0.036126041,0.021803718,0.013483511
6.18E-05,0.06524967,0.006836797,0.013739029,0.015932015,0.024142211,0.024600834,0.033985394,0.016227238,0.006909523
0.001048498,0.066285736,0.012430291,0.011932416,0.017629849,0.01534113,0.028352428,0.024455587,0.026642526,0.019854301
0.004399945,0.060670372,0.009301856,0.012204334,0.016436269,0.016594085,0.025319488,0.027175089,0.020543909,0.007765463
0.002054935,0.068022656,0.007909473,0.017972876,0.004366224,0.015363111,0.024723679,0.019416689,0.016291564,0.008644196
0.001903385,0.062348649,0.005132577,0.020025286,0.008430309,0.018213681,0.034476548,0.019057157,0.008744309,0.021385448
0.003429625,0.06632057,0.005235821,0.017985954,0.010436803,0.013542279,0.020199769,0.031795538,0.00723444,0.006907996
0.000425477,0.067515145,0.007235912,0.013601537,0.019814916,0.023231655,0.021697229,0.036783118,0.034199024,0.018632768
0.000395677,0.063165928,0.012452568,0.014951151,0.020807045,0.018348089,0.026245462,0.021385406,0.020470404,0.006126926
0.002385172,0.064941818,0.007045936,0.015341393,0.014490146,0.013539217,0.028352583,0.034709094,0.019065845,0.012984935
0.003211864,0.063613946,0.009954089,0.0154094,0.011607116,0.016340167,0.024644878,0.028169025,0.009265915,0.009090485
0.000794669,0.065811201,0.008747335,0.017754662,0.00850128,0.020651904,0.021297906,0.032432964,0.005979859,0.017447282
0.00164386,0.064686245,0.012065225,0.016788355,0.01247557,0.019121027,0.023429635,0.02897546,0.012103136,0.011571138
0.002024048,0.065155219,0.012101926,0.010090847,0.015806105,0.017575272,0.025811728,0.026140113,0.015296107,0.011458564
0.005202452,0.059666181,0.009494489,0.015829032,0.013708254,0.017922378,0.022247171,0.034624864,0.019667651,0.007068493
0.004044339,0.063981032,0.007460907,0.012599553,0.017804371,0.018809769,0.023301682,0.026820081,0.009915118,0.009866561
0.003330721,0.062135413,0.007810158,0.014575318,0.017968404,0.019759181,0.026409281,0.024096206,0.009110286,0.012931152
0.003875033,0.059154562,0.008362175,0.016365995,0.012991094,0.025474481,0.02719175,0.018139107,0.020784885,0.006874519
0.002107439,0.065739648,0.008054317,0.015701324,0.016532661,0.016557522,0.022000709,0.030375067,0.017012457,0.007698845
0.000240302,0.06765382,0.006505834,0.017466199,0.016916638,0.014270366,0.024821549,0.02688573,0.017663426,0.008597169
0.00092335,0.066024038,0.00842343,0.016655717,0.008781633,0.017580048,0.027443357,0.023177355,0.020838522,0.009413376
0.005927285,0.05755748,0.011370279,0.013585632,0.014741722,0.022833788,0.022240211,0.022729259,0.020741007,0.005457695
0.010752459,0.052176256,0.004262059,0.018523026,0.013022206,0.015787552,0.023038566,0.036903864,0.017081282,0.01437735
0.005412267,0.060339886,0.006738721,0.014075432,0.015022942,0.016322055,0.027283383,0.027934062,0.014812034,0.007995427
0.003396334,0.06413331,0.007060859,0.013079614,0.015451828,0.016066389,0.024368717,0.029034388,0.015211735,0.018241251
0.004285422,0.064378512,0.008503353,0.015268345,0.00884809,0.017043945,0.021976377,0.02838374,0.013709968,0.01161894
0.002180883,0.063474365,0.017075609,0.011978457,0.014647426,0.01453216,0.024184298,0.029558606,0.017600239,0.011368237
0.004727679,0.061601457,0.007210375,0.016788052,0.015529816,0.016167329,0.024875969,0.031655321,0.022888833,0.01717822
0.003822623,0.064874173,0.010492017,0.009473016,0.019650504,0.013687374,0.027345066,0.029494585,0.011111231,0.016230294
0.001206051,0.065862011,0.009357467,0.012294756,0.017155807,0.018481778,0.026031852,0.027150687,0.015352181,0.009077833
0.004450845,0.062959591,0.01043315,0.010540441,0.013307168,0.014971493,0.024616973,0.033486314,0.024499165,0.012133414
0.005058062,0.060005163,0.012445882,0.01093228,0.017944156,0.011569882,0.026966906,0.031361834,0.021642439,0.008263486
0.00615007,0.057590289,0.012078125,0.0092302,0.02099451,0.017575158,0.022365547,0.036784554,0.013681549,0.008833385
0.002535351,0.063455328,0.00705255,0.014343433,0.016145312,0.015108557,0.027819498,0.023899575,0.012190798,0.008983562
0.001207437,0.068096164,0.011212428,0.01366507,0.015083054,0.012448852,0.027105831,0.025409023,0.017589407,0.007326826
0.000141847,0.068721649,0.007346421,0.012995472,0.014760374,0.022425256,0.024237017,0.030094598,0.019013488,0.009160565
4.83E-05,0.06741735,0.007932811,0.014849697,0.016004101,0.021944761,0.022628035,0.024694985,0.018698379,0.007068859
0.003916668,0.062871711,0.013569662,0.009467063,0.019744692,0.016875347,0.021004088,0.026085188,0.020799798,0.008783735
0.003424629,0.062905658,0.006008834,0.019398527,0.008580473,0.018371379,0.028607269,0.023799463,0.022686555,0.005877688
0.003050693,0.064870778,0.008663802,0.013720916,0.011126245,0.019562956,0.023266573,0.027797558,0.027457433,0.011617784
0.002497736,0.064046378,0.010129513,0.01554438,0.014456488,0.017940855,0.022672643,0.025090395,0.019898625,0.004838429
1.12E-06,0.068951768,0.008245003,0.015191322,0.01420039,0.015661014,0.030929947,0.022559625,0.018450433,0.010057954
0.00770196,0.060383332,0.007096945,0.015600864,0.014091435,0.016635291,0.024441978,0.021156205,0.004784339,0.011503785
0.000581568,0.07098343,0.00460293,0.018446954,0.008410768,0.020157748,0.020443615,0.025476345,0.009826738,0.01661429
0.001154954,0.067991769,0.00558803,0.013350746,0.018114575,0.018782087,0.022780738,0.025181635,0.02251325,0.008262327
0.000989336,0.064987229,0.010773595,0.011430024,0.018171756,0.017041563,0.021063431,0.038997557,0.01843995,0.011779755
0.003521569,0.062287829,0.016289043,0.0062429,0.022896084,0.01791591,0.02199537,0.035107937,0.024823746,0.011781304
0.00032563,0.070337364,0.006654971,0.014903106,0.016188995,0.017851697,0.023689196,0.021874789,0.015046572,0.008287587
0.001060609,0.067553866,0.007722795,0.013479955,0.016915365,0.014129771,0.027933716,0.02994082,0.018457699,0.008507111
0.004617268,0.062687099,0.00496797,0.016770506,0.013808976,0.017956967,0.025243224,0.030279232,0.017726299,0.004911981
0.000209791,0.068323937,0.010647604,0.011570609,0.018959779,0.015810258,0.026327743,0.027072783,0.013671645,0.011403267
0.006113214,0.060508158,0.007709937,0.011495517,0.020320882,0.015268206,0.024654361,0.030717664,0.013472173,0.00702679
0.001352893,0.066013453,0.007758126,0.017683867,0.014188088,0.015961849,0.020180386,0.039310888,0.011695234,0.019443944
0.001275504,0.065771895,0.008793542,0.014216909,0.010784219,0.019543633,0.028796564,0.019524314,0.018872764,0.007140713
0.000329029,0.06858518,0.004821664,0.017535425,0.01552987,0.020289521,0.021428279,0.027719499,0.017241779,0.007001794
0.00207374,0.062742001,0.008360395,0.015928658,0.014278074,0.017678244,0.027483969,0.028039065,0.009983841,0.009723525
0.00022293,0.06917891,0.008952931,0.013371315,0.014519388,0.01311694,0.028394603,0.020080553,0.019940205,0.011848516
0.009010027,0.054976594,0.006815702,0.015559683,0.013075108,0.017339022,0.024827855,0.02243594,0.020662124,0.006362197
0.001360719,0.065084475,0.00735282,0.016861501,0.011447111,0.017207583,0.025086712,0.036876791,0.026892163,0.014218252
0.000355619,0.068167708,0.005959257,0.016571637,0.012252713,0.013707276,0.02766525,0.029713692,0.019979069,0.009639543
6.64E-05,0.06674029,0.007375302,0.015938105,0.015600899,0.01626231,0.025857374,0.030479634,0.020576303,0.008454229
0.007178126,0.056959064,0.010362695,0.013127427,0.016333079,0.014646166,0.029042499,0.020703265,0.015804442,0.007288859
0.007555722,0.058849688,0.00946184,0.015510749,0.010339491,0.014304884,0.028101761,0.022503444,0.019965713,0.006596485
0.002491516,0.064911345,0.008773616,0.013850751,0.011829498,0.01614699,0.027982244,0.02000511,0.014356933,0.008772592
0.002365564,0.068429703,0.006330163,0.012146166,0.015424884,0.016692134,0.024265981,0.027792242,0.022365943,0.012963675
0.002241697,0.063029635,0.007486363,0.01768997,0.012285902,0.016500289,0.025013148,0.031370191,0.021773786,0.010680467
0.000537237,0.069150091,0.010982918,0.011719885,0.013481092,0.016142473,0.025058088,0.03341438,0.010525615,0.010572331
0.001569155,0.066077757,0.010023042,0.014324979,0.015532682,0.015698848,0.024434452,0.028527273,0.016200198,0.008150521
0.001687782,0.063877237,0.006681579,0.015097122,0.016115419,0.014380905,0.028377853,0.031327024,0.018103386,0.010038768
0.000110071,0.072190302,0.009129889,0.011209683,0.016818779,0.01550526,0.025910098,0.023158314,0.013617936,0.009712665
0.005056989,0.058027703,0.004487828,0.019263699,0.01119001,0.01699194,0.032055058,0.023627714,0.010427787,0.024031723
0.00208181,0.064083474,0.008476963,0.013195015,0.020387745,0.01565069,0.025721886,0.027570553,0.012484565,0.021974718
0.000939107,0.064994043,0.010880154,0.014522913,0.016267934,0.021536395,0.025316659,0.02269053,0.012825116,0.010723802
0.001523595,0.064412837,0.007748904,0.017118609,0.013532011,0.017983377,0.029168972,0.02077168,0.017118141,0.004865795
0.000440425,0.065115005,0.008589529,0.014882937,0.020170956,0.022206412,0.020807371,0.035802051,0.023668506,0.008297097
0.000146714,0.069668446,0.00633837,0.015395967,0.012080157,0.020543353,0.026258446,0.030202296,0.019146225,0.014213105
0.001412298,0.068343385,0.008072738,0.014334125,0.01620927,0.013799078,0.026221772,0.031843184,0.022146987,0.018211383
0.002167544,0.069221256,0.004169755,0.016988882,0.011582982,0.013082362,0.033029735,0.022087258,0.016263109,0.010335789
0.000795158,0.069940655,0.004584202,0.015031581,0.010372525,0.013879867,0.025701167,0.034516277,0.019635411,0.008501031
0.00125349,0.067782376,0.005903367,0.011034671,0.022998625,0.020158219,0.024586299,0.02302192,0.017555458,0.009984288
0.000377406,0.068488884,0.004334769,0.018619404,0.011704447,0.018111867,0.02785372,0.018103173,0.008032442,0.011798599
0.003065978,0.065281833,0.005138184,0.015682998,0.01436334,0.016737733,0.024186403,0.03245407,0.012316168,0.01028039
0.000934005,0.069725898,0.006731317,0.015200685,0.013881667,0.020529891,0.021879184,0.032122021,0.014885446,0.01285577
0.000746548,0.068196857,0.005139871,0.01791541,0.016063706,0.022667066,0.021726708,0.025830479,0.012640564,0.012988076
0.001167054,0.06771724,0.005599225,0.016407411,0.013181448,0.013238566,0.026033485,0.029881522,0.014678879,0.015638435
0.001110653,0.067303412,0.001404283,0.021264338,0.009194798,0.014498705,0.028384158,0.030218695,0.013889176,0.013412795
0.002481537,0.067460014,0.004851535,0.015507584,0.014338281,0.021270554,0.016435554,0.034442334,0.015088696,0.009159929
0.002147121,0.065782427,0.014037353,0.005339011,0.025645688,0.014903917,0.02406959,0.028060768,0.018105056,0.005811779
0.000195028,0.066109827,0.013003217,0.010924768,0.017102259,0.019954232,0.02443262,0.029169867,0.020101881,0.008749072
0.000189641,0.068623712,0.006301648,0.015968698,0.020252581,0.01812607,0.027287144,0.025491417,0.020551936,0.008992614
0.001259655,0.069610591,0.006919431,0.014520351,0.018325319,0.01659469,0.024735091,0.024702592,0.017453603,0.005266524
0.001179068,0.070475309,0.006687513,0.010730688,0.021060928,0.017021769,0.021378252,0.0257192,0.02091535,0.00467113
0.000315369,0.066188318,0.008338404,0.013873083,0.017117247,0.018641374,0.02493712,0.026609931,0.0188503,0.008009796
0.006237572,0.057045536,0.007706851,0.017679341,0.013289859,0.016209465,0.028668577,0.029579996,0.023245332,0.010447735
0.004263204,0.064101389,0.016434081,0.010455438,0.012607228,0.013501263,0.027032613,0.026642428,0.018777501,0.008386328
0.001675865,0.062982737,0.007046528,0.017628837,0.012275889,0.018443181,0.028281002,0.030487544,0.013111161,0.017846148
0.003809838,0.062979653,0.008349285,0.015314886,0.017583721,0.018478556,0.020673037,0.031778864,0.024613673,0.007887721
0.000632587,0.067476535,0.008986333,0.014549005,0.013528031,0.017740616,0.026639957,0.022056434,0.016725231,0.005253864
0.003592782,0.061060334,0.007472643,0.016791041,0.014085659,0.019956964,0.027930739,0.02490879,0.01595721,0.010758279
0.000633854,0.066969169,0.007417113,0.015057417,0.01788002,0.016137523,0.027578418,0.020432803,0.014694814,0.005782616
