beta1,beta2,shortRho_m[1],shortRho_m[2],shortRho_m[3],shortRho_f[1],shortRho_f[2],shortRho_f[3],muRho,sigmaRho
0.000778074,0.038397171,0.00796304,0.014375114,0.02028933,0.020572522,0.025405843,0.038485232,0.030823472,0.021056638
0.001084827,0.040520407,0.011383695,0.013821155,0.013544936,0.016678584,0.024225118,0.038985282,0.014026598,0.010433153
0.004119119,0.042301611,0.007052557,0.016203948,0.004296828,0.018904242,0.025882944,0.021784611,0.013601879,0.011076344
0.000694708,0.042234541,0.013769914,0.012170412,0.013822611,0.022305992,0.025824181,0.019299368,0.01771284,0.006305299
0.003736811,0.037309709,0.008845093,0.020150252,0.00731245,0.018873048,0.02759214,0.024693201,0.020102458,0.012847639
0.001001127,0.04315793,0.010795387,0.01158118,0.017229494,0.018096779,0.024818234,0.028329057,0.020763028,0.007469503
0.003484158,0.040990711,0.011245525,0.008355881,0.022236124,0.021591491,0.019420195,0.036321733,0.018274535,0.01183007
0.00265108,0.040705421,0.008629795,0.012165716,0.016211709,0.019338661,0.022776437,0.033367577,0.020260956,0.005990714
0.004449975,0.039679526,0.014889182,0.008902414,0.016285864,0.021251947,0.022492279,0.028119873,0.015655635,0.005614106
0.00447361,0.036610242,0.008562545,0.015736394,0.013248495,0.022451228,0.024044765,0.032882766,0.019391211,0.00633117
0.002245823,0.043711004,0.012384838,0.010973517,0.019112678,0.014531161,0.024348384,0.028723159,0.015598539,0.008641266
0.002716097,0.038467233,0.010721303,0.013731085,0.019699082,0.024948307,0.025314036,0.021552005,0.014690293,0.014046893
0.007192293,0.033674805,0.013838571,0.010019188,0.022310339,0.019272298,0.024410494,0.037214948,0.021743386,0.006872101
0.000343476,0.043372445,0.0087424,0.014326668,0.015039839,0.011348515,0.030474304,0.029906696,0.013347267,0.009161585
0.003813971,0.038114482,0.011272801,0.016973577,0.00997784,0.014516166,0.028998046,0.024530328,0.023180535,0.008884348
0.00577702,0.036200027,0.009489646,0.014917968,0.012986053,0.019636217,0.024581036,0.032886704,0.021979398,0.010930945
0.000225154,0.041993518,0.010548214,0.015401948,0.015209568,0.017835776,0.024932817,0.025502732,0.018358551,0.00633659
0.004574534,0.03810721,0.008073001,0.015146304,0.015424982,0.017937218,0.025996887,0.026151003,0.017879602,0.007728873
0.003235316,0.037229847,0.013840992,0.013196889,0.015378794,0.0207561,0.026156948,0.028930362,0.025333416,0.013378001
0.000985672,0.041569,0.010944059,0.011915321,0.015145151,0.016388184,0.024247976,0.037739214,0.024076979,0.01719514
0.002667111,0.043105477,0.007418546,0.01411211,0.015497991,0.012960313,0.025035002,0.030831486,0.015894748,0.010441532
