beta1,beta2,z,shortRho_m[1],shortRho_m[2],shortRho_m[3],shortRho_f[1],shortRho_f[2],shortRho_f[3],muRho,sigmaRho
0.00254801,0.037909262,0.136636778,0.005661026,0.01742098,0.012432989,0.01273721,0.02279683,0.037755986,0.015068907,0.011321492
0.000326959,0.043327191,0.448166639,0.004025595,0.008414071,0.020899956,0.011785951,0.019651262,0.026815519,0.012545537,0.010673686
0.003583385,0.040711441,0.197573043,0.007979026,0.014580495,0.015274893,0.017094518,0.016664831,0.031890146,0.017060964,0.009885693
0.009596947,0.037423765,0.671163196,0.004701262,0.008403999,0.004741763,0.007977053,0.017094749,0.027344397,0.009483521,0.00682647
0.005064616,0.037847237,0.531621309,0.004075343,0.015640906,0.006190651,0.011451145,0.01512234,0.036361466,0.009845202,0.012865752
0.003181427,0.04367319,0.680703134,0.00157264,0.008908922,0.003529432,0.001303875,0.024271928,0.025143984,0.011390802,0.013802423
0.005269827,0.04013329,0.278397327,0.010233565,0.007675735,0.013191705,0.015259529,0.020843293,0.028193415,0.018320372,0.011307679
0.004707014,0.036352944,0.545976414,0.003004675,0.009529059,0.01730266,0.014200601,0.02235955,0.026953361,0.025468163,0.014444894
0.002529225,0.045051426,0.941907597,0.000375802,0.004870167,0.005279379,0.00832437,0.013196966,0.025655523,0.009863649,0.012895432
0.001276641,0.045443253,0.939713658,0.002227699,0.001558548,0.010956059,0.008224755,0.014068313,0.027262314,0.009129704,0.007898012
0.001807509,0.039489628,0.209655114,0.008220773,0.014321686,0.011335256,0.011995744,0.027175043,0.025139801,0.019567286,0.01126392
0.004751536,0.037925408,0.656943252,0.000452424,0.010714069,0.010781758,0.012950359,0.015829273,0.032709649,0.013889899,0.007215561
0.001741817,0.047107953,0.647997042,9.17E-06,0.007304615,0.010507173,0.008121075,0.012586086,0.035603575,0.019958137,0.014467882
0.0004426,0.042273578,0.385495774,0.008799037,0.010921892,0.014752855,0.009365833,0.020766604,0.029232839,0.014146285,0.007505754
0.009009891,0.033752008,0.17992559,0.010958633,0.0087131,0.013324139,0.016114417,0.021806618,0.037508704,0.023932049,0.017647075
0.000304715,0.044558652,0.210350183,0.008345276,0.011741962,0.015124457,0.016562932,0.023067578,0.018241845,0.013098177,0.008957425
0.001213813,0.043157624,0.036243886,0.009424386,0.013266901,0.020728931,0.020698334,0.019584792,0.028072066,0.017352144,0.009192304
0.004017789,0.042409705,0.184940809,0.006704591,0.012631434,0.01541719,0.012213639,0.020210012,0.032435983,0.011652151,0.006694876
0.000394899,0.045553847,0.711522454,0.005149886,0.005615737,0.016735045,0.008031446,0.019130354,0.0176341,0.010884986,0.005193363
0.001929892,0.047519059,0.700931432,0.004355487,0.006159422,0.007942464,0.006983001,0.015685027,0.024309344,0.014051902,0.00789829
0.003420516,0.039901794,0.028808876,0.007778463,0.015132756,0.016427976,0.015123119,0.026731062,0.028629661,0.011294595,0.010771644
0.00109491,0.042479983,0.22595165,0.005155333,0.016403903,0.011162255,0.010537178,0.022561044,0.03068671,0.01576622,0.010679958
0.009202423,0.034865575,0.146738791,0.010316307,0.01815527,0.005640483,0.017268527,0.024081867,0.020264191,0.013803068,0.009919435
0.002279125,0.048194837,0.999487572,0.000503691,0.004687017,0.002352309,0.004577222,0.011100906,0.027394251,0.007470275,0.009005064
0.005427154,0.040237676,0.173297977,0.004191418,0.019346693,0.006952138,0.016711865,0.020825192,0.024576218,0.016868998,0.009263162
0.001213902,0.04287415,0.756453656,0.000783555,0.008319338,0.006625013,0.01137175,0.016564584,0.032036884,0.014243553,0.010860519
0.00434161,0.038654818,0.276767197,0.004306928,0.014914736,0.012239274,0.013086595,0.020618857,0.029136948,0.021460948,0.012154146
0.001106215,0.050237248,0.567710972,0.003003866,0.008392902,0.004558739,0.00452667,0.019439107,0.023776605,0.004681987,0.008191187
0.000915134,0.050716673,0.698743878,0.003666633,0.002091357,0.01163844,0.005052482,0.016332375,0.02411569,0.014923498,0.006971113
0.004078312,0.038105641,0.290234608,0.005473583,0.013321975,0.013330332,0.012841188,0.027144706,0.016523445,0.016191911,0.015242948
0.008380269,0.035603934,0.329506851,0.006124315,0.012428447,0.011359287,0.010359055,0.024210031,0.025138709,0.012332727,0.00741177
0.00620385,0.039729968,0.129784602,0.007429455,0.012514106,0.014756787,0.016539535,0.021965379,0.021940254,0.012147323,0.006097914
0.006735089,0.033844943,0.073544262,0.011495956,0.014013159,0.012375509,0.018752379,0.027492738,0.026207618,0.017419046,0.009780155
0.003027836,0.041471766,0.734141425,0.001585145,0.006778977,0.014487329,0.005974879,0.021452777,0.025733423,0.013482156,0.011855003
0.000633488,0.042957146,0.091183577,0.015203622,0.009684184,0.015166631,0.015886821,0.025067512,0.030805676,0.021290073,0.007648076
